"tag","total_tweets","avg_unique_hashtag","avg_unique_mention","avg_unique_urls","avg_unique_media","avg_unique_symbol","avg_unique_anyentity","avg_hashtags","avg_mention","avg_urls","avg_media","avg_symbol","avg_anyentity","avg_tweet_uniquewords","avg_tweet_length","avg_tweet_density"
"#Bulimia","1756","0.4949","0.1446","0.2267","0.1646","0.0000","1.0308","5.3571","0.8593","0.6429","0.3639","0.0000","7.2232","2.9618","21.2369","0.1395"
"unknown-#GPFAD2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"#myocarditis","105","0.3619","0.3333","0.1619","0.1143","0.0000","0.9714","3.9143","1.4762","1.1238","0.8667","0.0000","7.3810","3.3143","18.4286","0.1798"
"#Hypothyroidism","1471","0.4636","0.0938","0.1890","0.1428","0.0000","0.8892","3.6744","0.5629","0.5738","0.3426","0.0000","5.1536","2.7458","20.0530","0.1369"
"#Alzheimer","55283","0.1824","0.1864","0.1967","0.1482","0.0011","0.7147","3.7904","1.9888","0.7319","0.6002","0.0137","7.1250","1.3793","20.9164","0.0659"
"#Cholesteatoma","18","1.8889","0.2778","0.3333","0.3889","0.0000","2.8889","7.8333","0.5556","0.6111","0.5556","0.0000","9.5556","10.5000","20.8889","0.5027"
"#Lipoedema","288","0.5972","0.3611","0.2847","0.1979","0.0000","1.4410","2.8368","1.6389","0.5903","0.4306","0.0000","5.4965","6.3160","22.9479","0.2752"
"#AorticDissection","91","0.6923","0.5055","0.2857","0.1978","0.0000","1.6813","2.9121","1.8022","0.6154","0.5714","0.0000","5.9011","6.3187","20.5604","0.3073"
"#Listeriosis","4158","0.1080","0.1335","0.0664","0.0767","0.0000","0.3846","2.4971","1.6585","0.4192","0.7172","0.0000","5.2920","1.2679","15.9187","0.0796"
"#ThyroidCancer","787","0.5515","0.3024","0.2757","0.1970","0.0051","1.3304","3.7548","1.4612","0.8895","0.5476","0.0051","6.6582","3.9034","20.1309","0.1939"
"#MuscularDystrophy","1472","0.4327","0.2615","0.2310","0.1698","0.0014","1.0965","5.3764","2.0401","0.8247","0.5122","0.0020","8.7554","3.1202","20.8125","0.1499"
"#Polio","5292","0.2205","0.2043","0.1385","0.1066","0.0000","0.6699","3.8192","1.9994","0.6597","0.7659","0.0000","7.2441","1.7398","21.5357","0.0808"
"#Mastocytosis","32","1.8750","0.5625","0.2500","0.1875","0.0000","2.8750","5.3438","0.9375","0.7188","0.5625","0.0000","7.5625","9.6875","23.6250","0.4101"
"#HemiplegicMigraine","40","0.6000","0.3250","0.2750","0.1750","0.0000","1.3750","5.1000","1.1500","0.8500","0.6250","0.0000","7.7250","5.7250","20.1250","0.2845"
"#impotence","768","1.1549","0.1042","0.3099","0.2474","0.0000","1.8164","5.7904","0.7266","0.9154","0.7747","0.0000","8.2070","3.5560","19.5495","0.1819"
"#EmanuelSyndrome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"unknown-#PNDChat","3631","0.4065","0.2063","0.2479","0.1955","0.0003","1.0565","5.2300","1.2605","0.8463","0.4922","0.0006","7.8295","2.6329","22.3633","0.1177"
"#curesma","89","0.6742","0.3596","0.3820","0.2584","0.0000","1.6742","3.8876","1.0000","0.6067","0.4831","0.0000","5.9775","7.8090","22.4270","0.3482"
"#Migraine","14022","0.2757","0.1357","0.1949","0.1789","0.0011","0.7863","4.0909","1.1808","0.7857","0.5227","0.0088","6.5889","1.8925","20.8336","0.0908"
"#aHUS","191","0.6387","0.3089","0.2408","0.1623","0.0052","1.3560","4.5288","1.3298","0.7016","0.5759","0.0052","7.1414","5.1257","22.7120","0.2257"
"#RettSyndrome","321","0.5389","0.3458","0.3427","0.2274","0.0062","1.4611","2.7383","1.4299","0.9252","0.6667","0.0125","5.7726","5.2555","21.8380","0.2407"
"#BirdFlu","319","0.7461","0.2978","0.2445","0.1881","0.0000","1.4765","4.1912","1.0157","0.6803","0.5799","0.0000","6.4671","4.2194","19.8777","0.2123"
"#analcancer","98","0.7959","0.4388","0.2755","0.1837","0.0000","1.6939","3.8367","1.9082","1.1531","0.6633","0.0000","7.5612","6.3163","21.1939","0.2980"
"#Psoriasis","5646","0.3826","0.1647","0.2363","0.2846","0.0028","1.0710","3.8510","0.7784","0.7568","0.6134","0.0094","6.0090","2.5115","20.3507","0.1234"
"#Gallbladder","346","0.9884","0.3844","0.1965","0.1734","0.0000","1.7428","7.0116","1.8497","0.4277","0.5665","0.0000","9.8555","4.4971","18.5058","0.2430"
"unknown-#mpnsm","460","0.2304","0.1783","0.2043","0.1739","0.0000","0.7870","2.4478","1.9522","0.7935","0.6543","0.0000","5.8478","3.5587","20.5130","0.1735"
"#Dysautonomia","849","0.6620","0.3628","0.2403","0.2097","0.0012","1.4759","4.8115","1.3345","0.5253","0.4429","0.0012","7.1154","5.1673","23.3133","0.2216"
"#RenalFailure","94","1.3404","0.2021","0.2128","0.3830","0.0000","2.1383","5.7872","1.0426","0.4362","0.7553","0.0000","8.0213","7.9255","22.7234","0.3488"
"#pseudobulbar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"#merkelcellcarcinoma","23","0.6522","0.8261","0.3913","0.2609","0.0000","2.1304","2.3913","1.3478","0.7391","0.5217","0.0000","5.0000","7.1739","20.3478","0.3526"
"#Anaphylaxis","2103","0.3676","0.2287","0.2397","0.1427","0.0000","0.9786","4.6148","1.4603","0.8364","0.5706","0.0000","7.4822","2.8835","21.2168","0.1359"
"#MultipleEndocrineNeoplasia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"#SARS","3987","0.2405","0.2117","0.1139","0.0484","0.0008","0.6145","3.4645","2.2496","0.5330","0.2940","0.0008","6.5418","2.2300","21.7948","0.1023"
"#hypertrophiccardiomyopathy","28","1.2857","0.8571","0.3929","0.2857","0.0000","2.8214","5.3571","2.2857","0.9643","0.7143","0.0000","9.3214","7.7500","19.0357","0.4071"
"#Incontinence","1819","0.7719","0.1990","0.3936","0.3238","0.0000","1.6883","5.0203","0.9951","0.8774","0.5855","0.0000","7.4783","3.6751","21.3463","0.1722"
"#TennisElbow","651","0.4409","0.0753","0.1475","0.1720","0.0000","0.8356","2.4869","0.1598","0.5530","0.2396","0.0000","3.4393","2.5561","16.4316","0.1556"
"#AllergicRhinitis","83","0.8795","0.2169","0.2771","0.2771","0.0000","1.6506","4.1807","0.6747","0.8313","0.7229","0.0000","6.4096","6.4337","20.3614","0.3160"
"#Menieres","87","0.6322","0.3103","0.2414","0.0575","0.0000","1.2414","3.1724","0.7241","0.5862","0.0920","0.0000","4.5747","8.4368","23.5747","0.3579"
"#Progeria","383","0.2219","0.2272","0.2324","0.0992","0.0052","0.7859","2.9608","2.1906","1.4125","0.5718","0.1514","7.2872","2.6815","20.0836","0.1335"
"#PCOS","6362","0.4010","0.2256","0.2562","0.1823","0.0000","1.0651","4.6224","1.5237","0.7784","0.5140","0.0000","7.4385","2.6581","22.8958","0.1161"
"#Halitosis","184","1.2065","0.2337","0.3859","0.2174","0.0000","2.0435","4.7772","0.6522","0.8261","0.4130","0.0000","6.6685","5.5761","20.4728","0.2724"
"#Trichotillomania","294","0.8537","0.2653","0.3299","0.2449","0.0000","1.6939","4.0068","0.7279","0.5816","0.4150","0.0000","5.7313","6.6327","22.8299","0.2905"
"#Osteoporosis","5440","0.3204","0.1599","0.2151","0.1822","0.0004","0.8779","3.6347","1.0404","0.8221","0.5689","0.0116","6.0778","2.0726","20.4537","0.1013"
"#irondeficiency","292","0.6370","0.1781","0.3630","0.3459","0.0000","1.5240","3.2877","0.8596","0.9486","0.8322","0.0000","5.9281","5.1610","21.4795","0.2403"
"#MyalgicE","33625","0.0642","0.0665","0.1222","0.0838","0.0000","0.3367","4.3190","1.8910","0.7743","0.4708","0.0001","7.4551","1.0148","23.1706","0.0438"
"#PainSomnia","657","0.4049","0.2192","0.1400","0.0776","0.0000","0.8417","3.8889","0.8935","0.6910","0.1339","0.0000","5.6073","3.9604","22.3059","0.1776"
