"tag","unique_users","%_content_gen","%_content_pp","avg_nt_per_cg","dev_nt","%cg_outliers-","%cg_outliers+","avg_rt_per_cp","dev_rt","%cp_outliers-","%cp_outliers+","cg_reach","dev_cgr","cgr_outliers-","cgr_outliers+","cp_reach","dev_cpr","cpr_outliers-","cpr_outliers+"
"#Asthma","12766","0.3964","0.8212","8.9818","39.2185","0.0000","0.1223","10.2936","26.2888","0.0000","0.1329","16972.6036","284388.4305","0.0000","0.1346","7845.8496","176953.6921","0.0000","0.1249"
"#SickleCell","1709","0.3721","0.8912","11.5252","53.9953","0.0000","0.1164","17.7603","35.2743","0.0000","0.1510","7540.6289","54550.6167","0.0000","0.1384","4124.3047","28893.3351","0.0000","0.1274"
"#CharcotMarieTooth","46","0.6087","0.7826","19.0357","43.9119","0.0000","0.1071","33.4444","39.6304","0.0000","0.1111","1875.2143","3578.3968","0.0000","0.0714","1576.6111","3227.0051","0.0000","0.0833"
"#nonhodgkinslymphoma","33","0.5758","0.5758","111.0000","290.7660","0.0000","0.1579","389.8947","294.4208","0.0000","0.2105","13768.7368","36670.6519","0.0000","0.1053","8268.0000","22898.7815","0.0000","0.1053"
"#PolycysticOvarianSyndrome","53","0.6792","0.7547","17.6389","30.2023","0.0000","0.1667","45.7000","27.0621","0.0000","0.1250","6986.1944","22941.5761","0.0000","0.0833","3254.4750","10174.7429","0.0000","0.1000"
"#ChronicMigraine","231","0.7100","0.8225","20.8720","69.1180","0.0000","0.0976","30.9684","64.7604","0.0000","0.1211","1905.5305","3611.8331","0.0000","0.1037","2184.7316","4905.5704","0.0000","0.1105"
"#Rhabdomyosarcoma","260","0.3154","0.9615","22.3171","123.0584","0.0000","0.1585","36.1960","70.9622","0.0000","0.1560","6529.6220","32510.8665","0.0000","0.1463","5159.0640","26947.0290","0.0000","0.1280"
"#Adhesions","35","0.7714","0.6571","8.2963","10.6186","0.0000","0.1111","20.5217","11.8039","0.0000","0.0000","1582.0741","2742.1081","0.0000","0.0741","1973.2609","2980.3680","0.0000","0.0435"
"#YellowFever","1602","0.4657","0.8340","9.6233","30.8743","0.0000","0.1394","14.5531","20.0874","0.0000","0.1684","11190.3432","167358.2173","0.0000","0.1314","8018.4536","128767.0708","0.0000","0.1287"
"unknown-#MenHaveBreastsToo","357","0.5434","0.9300","29.1186","99.1436","0.0000","0.1082","41.3373","66.6031","0.0000","0.1717","7341.9330","38758.8054","0.0000","0.1186","5027.9066","29838.1403","0.0000","0.1416"
"#Enterovirus68","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#KidneyDisease","2802","0.3251","0.8787","17.3095","82.5270","0.0000","0.1548","17.5260","50.0118","-1.0000","-1.0000","4630.5016","25476.6212","0.0000","0.1328","4167.1288","30859.4596","0.0000","0.1491"
"#GvHD","153","0.5033","0.8627","55.6623","215.5340","0.0000","0.1299","87.5833","166.6364","0.0000","0.1667","2893.7143","5351.4561","0.0000","0.1429","1959.8864","5434.2757","0.0000","0.0985"
"#Colitis","2904","0.4211","0.8795","9.5724","37.9367","0.0000","0.1415","14.3089","25.6766","0.0000","0.1621","2459.2993","10730.6803","0.0000","0.1243","1952.4272","9406.9756","0.0000","0.1253"
"#BleedingDisorder","176","0.5739","0.8466","8.9010","17.1345","0.0000","0.0990","18.8993","14.4566","0.0000","0.1275","2644.6337","10020.5844","0.0000","0.1287","1877.4228","8249.4929","0.0000","0.1074"
