"tag","total","%_retweeted","avg_rt_freq","%_liked","avg_like_freq","%_replied","avg_reply_freq","%_interacted","avg_interact_freq","as_replies","as_quotes"
"#Varicose","43","0.7442","1.4884","0.3953","4.5581","0.0000","0.0000","1.0000","6.0465","0.0000","0.0233"
"#ChurgStrauss","34","1.0000","56.0000","0.0294","2.2941","0.0000","0.0000","1.0000","58.2941","0.0000","0.0000"
"#Seizures","1130","0.8655","7.7451","0.3159","1.3398","0.0000","0.0000","1.0000","9.0850","0.0097","0.1619"
"unknown-#OCAMChat","2984","0.9102","12.2038","0.2413","1.5801","0.0000","0.0000","1.0000","13.7838","0.0060","0.1528"
"#Lupus","9431","0.9102","97.0962","0.2244","1.9368","0.0000","0.0000","1.0000","99.0330","0.0147","0.1303"
"#basalcellcarcinoma","38","0.9211","4.2895","0.3158","1.2895","0.0000","0.0000","1.0000","5.5789","0.0263","0.0000"
"#delirium","1785","0.9322","16.0941","0.2123","1.5457","0.0000","0.0000","1.0000","17.6398","0.0146","0.2515"
"#Dyslexia","7361","0.8927","41.7606","0.2646","1.4146","0.0000","0.0000","1.0000","43.1752","0.0231","0.1618"
"#YeastInfection","177","0.5706","326.8927","0.6045","0.7175","0.0000","0.0000","1.0000","327.6102","0.0113","0.0000"
"#giardia","14","0.7143","1.7857","0.4286","1.8571","0.0000","0.0000","1.0000","3.6429","0.0000","0.2143"
"#BPD","6439","0.8503","20.6998","0.3005","2.2084","0.0000","0.0000","1.0000","22.9082","0.0272","0.1002"
"unknown-#KnowFH","866","0.9388","6.8164","0.2217","1.4215","0.0000","0.0000","1.0000","8.2379","0.0185","0.2806"
"#Parkinsons","5773","0.9068","82.0894","0.2439","2.0456","0.0000","0.0000","1.0000","84.1349","0.0113","0.0925"
"#SleepDisorder","117","0.7265","1.5983","0.5043","1.1538","0.0000","0.0000","1.0000","2.7521","0.0000","0.0085"
"#varicella","73","0.9452","11.8630","0.2055","1.0274","0.0000","0.0000","1.0000","12.8904","0.0548","0.0685"
"#BacterialVaginosis","47","0.0851","0.5532","0.9149","0.9574","0.0000","0.0000","1.0000","1.5106","0.0000","0.0213"
"#Alopecia","1630","0.7288","5.1018","0.4344","1.6172","0.0000","0.0000","1.0000","6.7190","0.0141","0.0963"
"#AFib","3027","0.9389","10.5996","0.2425","1.1916","0.0000","0.0000","1.0000","11.7912","0.0096","0.0717"
"#Cardiomyopathy","303","0.9373","20.8020","0.1947","1.2310","0.0000","0.0000","1.0000","22.0330","0.0099","0.1947"
"#Ataxia","259","0.8687","3.7529","0.3320","1.1815","0.0000","0.0000","1.0000","4.9344","0.0347","0.1313"
"#MyastheniaGravis","51","0.7843","2.3333","0.4902","1.6863","0.0000","0.0000","1.0000","4.0196","0.0392","0.0784"
"unknown-#Endmalaria","17596","0.9474","224.3408","0.1672","2.1192","0.0000","0.0000","1.0000","226.4600","0.0087","0.0872"
"#CyclicVomitingSyndrome","5","1.0000","1.2000","0.2000","0.6000","0.0000","0.0000","1.0000","1.8000","0.0000","0.0000"
"#NeuroendocrineTumors","26","0.9615","6.8462","0.2308","1.1923","0.0000","0.0000","1.0000","8.0385","0.0000","0.0769"
"#Epilepsy","7938","0.9064","12.7235","0.2672","1.4136","0.0000","0.0000","1.0000","14.1371","0.0134","0.1248"
"#FattyLiver","954","0.9340","13.9832","0.1866","0.9948","0.0000","0.0000","1.0000","14.9780","0.0073","0.1006"
"#Hypochondria","15","0.4667","0.6667","0.6667","1.8000","0.0000","0.0000","1.0000","2.4667","0.0667","0.2000"
"#SpinalCordInjury","829","0.8613","6.4825","0.3305","1.4560","0.0000","0.0000","1.0000","7.9385","0.0157","0.1496"
"#skintag","23","0.2609","0.3913","0.7826","0.9130","0.0000","0.0000","1.0000","1.3043","0.0435","0.0435"
"#Cholera","2998","0.9736","83.5517","0.1064","1.3132","0.0000","0.0000","1.0000","84.8649","0.0137","0.0834"
