"%_retweeted","avg_rt_freq","%_liked","avg_like_freq","avg_interact_freq","as_replies","as_quotes"
"0.9351","9.0779","0.2338","1.5325","10.6104","0.0390","0.2987"
"0.9460","21.3525","0.1905","1.2623","22.6148","0.0055","0.1571"
"0.8833","34.6630","0.2665","1.2401","35.9031","0.0110","0.1344"
"0.9497","7.4815","0.2143","0.7540","8.2354","0.0079","0.1481"
"0.7863","5.1325","0.3803","1.9060","7.0385","0.0214","0.1752"
"0.9295","24.5394","0.1915","1.6275","26.1669","0.0106","0.1210"
"0.8558","14.4006","0.2917","1.6731","16.0737","0.0192","0.2019"
"0.8802","81.8006","0.2589","1.1020","82.9026","0.0348","0.0958"
"0.8182","2.8636","0.3977","1.3295","4.1932","0.0227","0.0795"
"0.8661","6.5625","0.2411","0.8750","7.4375","0.0000","0.0982"
"0.8559","13.0324","0.2939","1.5235","14.5559","0.0162","0.1457"
"0.5556","0.5556","0.5556","0.5556","1.1111","0.0000","0.0000"
"0.9299","49.0106","0.2298","2.2404","51.2509","0.0158","0.2133"
"0.6130","108.6275","0.5208","1.5660","110.1935","0.0090","0.0398"
"0.9598","190.5549","0.1438","1.5657","192.1207","0.0130","0.1420"
"0.9571","10.7000","0.1429","0.4429","11.1429","0.0143","0.0714"
"0.9089","5.4961","0.3015","1.4809","6.9769","0.0124","0.1187"
"0.9224","13.3685","0.2225","1.6999","15.0684","0.0336","0.3082"
"0.8459","9.4043","0.3371","1.3184","10.7227","0.0144","0.0918"
"0.7500","2.2500","0.5000","2.1667","4.4167","0.0000","0.4167"
"0.9223","7.8176","0.2669","1.4223","9.2399","0.0101","0.2466"
"0.8887","23.6519","0.2538","1.1917","24.8436","0.0043","0.0937"
"0.9295","4.2863","0.3195","1.3527","5.6390","0.0124","0.1037"
"0.8915","5.1934","0.3255","2.0896","7.2830","0.0189","0.1698"
"0.6349","1.9841","0.5238","1.7778","3.7619","0.0159","0.0635"
"0.9111","8.4333","0.1778","0.4222","8.8556","0.0111","0.0556"
"0.8770","127.1482","0.2440","0.8296","127.9779","0.0121","0.0563"
"0.9367","14.0663","0.1898","1.1536","15.2199","0.0120","0.1054"
"0.8495","13.8639","0.3433","1.5161","15.3801","0.0182","0.1365"
"0.8766","26.9610","0.2305","0.8344","27.7955","0.0130","0.0877"
"0.9370","71.8576","0.1962","1.2606","73.1181","0.0081","0.1402"
"0.8807","26.0222","0.2876","1.9510","27.9732","0.0225","0.1688"
"0.9907","64.5833","0.0741","1.7500","66.3333","0.0185","0.0000"
"0.8191","10.5884","0.3285","1.2256","11.8139","0.0073","0.0541"
"0.9686","6.4863","0.2078","1.1176","7.6039","0.0078","0.1137"
"0.9583","9.0034","0.2023","0.8633","9.8667","0.0104","0.1372"
"0.7658","11.3243","0.3604","1.3423","12.6667","0.0090","0.2883"
"0.9387","43.5981","0.1772","1.4674","45.0656","0.0179","0.2432"
"0.8826","6.4377","0.2883","1.4591","7.8968","0.0107","0.1139"
"0.8712","29.7197","0.2197","1.0606","30.7803","0.0227","0.0758"
"0.8586","28.6086","0.2629","1.6075","30.2161","0.0187","0.2348"
"0.9259","17.3889","0.1667","1.9074","19.2963","0.0000","0.0741"
