"avg_hashtags","avg_mention","avg_urls","avg_media","avg_symbol","avg_tweet_uniquewords","avg_tweet_length","avg_tweet_density"
"5.7252","1.5292","0.6917","0.3380","0.0000","3.8301","19.1365","0.2001"
"3.6156","1.0999","0.9344","0.3624","0.0034","2.8582","19.9757","0.1431"
"6.1495","1.3250","0.7914","0.6374","0.0054","3.5685","21.2355","0.1680"
"5.9703","0.6683","0.8069","0.4901","0.0000","7.9257","20.3861","0.3888"
"5.0876","0.6107","0.7859","0.5085","0.0000","5.1946","19.6861","0.2639"
"2.7788","1.3027","0.7778","0.4609","0.0338","2.6033","20.3666","0.1278"
"3.8943","1.2996","0.7858","0.4611","0.0013","2.6101","21.1952","0.1231"
"3.1222","1.3891","0.8103","0.6817","0.0000","3.8746","19.4309","0.1994"
"2.4964","1.1898","1.1095","0.5985","0.0949","5.5182","23.5328","0.2345"
"3.9825","1.4070","0.9858","0.5607","0.0047","2.3374","20.6928","0.1130"
"3.4982","1.1915","0.8647","0.4887","0.0417","2.6542","19.2598","0.1378"
"5.4291","1.2422","0.6705","0.4317","0.0045","1.8909","21.8865","0.0864"
"4.1956","1.1943","0.8941","0.6125","0.0156","1.8630","20.3023","0.0918"
"1.7292","0.8194","1.0000","0.8611","0.0000","2.2153","23.9931","0.0923"
"5.1171","1.4354","0.8418","0.6175","0.0083","2.4722","21.7387","0.1137"
"6.1400","2.2801","1.1229","0.0737","0.0000","3.0467","21.2776","0.1432"
"7.2873","1.0914","0.6449","0.4873","0.0012","2.5708","20.2014","0.1273"
"3.6731","2.2412","0.9315","0.4879","0.0014","1.4878","20.8658","0.0713"
"4.1983","1.2420","0.9480","0.5768","0.0077","2.3063","20.8998","0.1104"
"4.3721","1.6698","1.0362","0.4095","0.0003","2.2330","21.1512","0.1056"
"4.7999","0.8440","0.4915","0.6953","0.0000","2.2631","19.9692","0.1133"
"3.4470","1.0672","0.7390","0.4574","0.0000","5.0517","24.1628","0.2091"
"3.5765","0.9217","0.8496","0.5009","0.0000","2.4856","22.7169","0.1094"
"6.9114","1.3101","0.9557","0.5063","0.0000","5.7911","22.6013","0.2562"
"8.9205","1.1865","0.5107","0.4404","0.0000","5.6147","23.2324","0.2417"
"3.7847","1.6142","0.6871","0.6241","0.0055","2.7839","22.0923","0.1260"
"6.5321","0.8199","0.7985","0.5359","0.0598","3.8948","20.1436","0.1934"
"4.0818","1.4091","0.7404","0.3754","0.0000","2.6831","19.8783","0.1350"
"3.1227","1.1503","0.8252","0.6120","0.0000","2.8942","19.2853","0.1501"
"5.3571","0.8593","0.6429","0.3639","0.0000","2.9618","21.2369","0.1395"
"3.9143","1.4762","1.1238","0.8667","0.0000","3.3143","18.4286","0.1798"
"2.8368","1.6389","0.5903","0.4306","0.0000","6.3160","22.9479","0.2752"
"2.4971","1.6585","0.4192","0.7172","0.0000","1.2679","15.9187","0.0796"
"5.3764","2.0401","0.8247","0.5122","0.0020","3.1202","20.8125","0.1499"
"3.8192","1.9994","0.6597","0.7659","0.0000","1.7398","21.5357","0.0808"
"5.7904","0.7266","0.9154","0.7747","0.0000","3.5560","19.5495","0.1819"
"3.8876","1.0000","0.6067","0.4831","0.0000","7.8090","22.4270","0.3482"
"4.0909","1.1808","0.7857","0.5227","0.0088","1.8925","20.8336","0.0908"
"4.5288","1.3298","0.7016","0.5759","0.0052","5.1257","22.7120","0.2257"
"3.8367","1.9082","1.1531","0.6633","0.0000","6.3163","21.1939","0.2980"
"3.8510","0.7784","0.7568","0.6134","0.0094","2.5115","20.3507","0.1234"
"3.4645","2.2496","0.5330","0.2940","0.0008","2.2300","21.7948","0.1023"
"4.1807","0.6747","0.8313","0.7229","0.0000","6.4337","20.3614","0.3160"
"4.7772","0.6522","0.8261","0.4130","0.0000","5.5761","20.4728","0.2724"
"4.0068","0.7279","0.5816","0.4150","0.0000","6.6327","22.8299","0.2905"
"4.3190","1.8910","0.7743","0.4708","0.0001","1.0148","23.1706","0.0438"
"4.5911","2.1025","0.7753","0.6449","0.0005","2.6091","22.9400","0.1137"
"2.3371","1.6120","0.9240","0.4376","0.0051","0.8592","21.4214","0.0401"
"4.1466","1.2384","0.6950","0.4367","0.0002","2.1766","22.2219","0.0979"
"3.3018","0.8964","0.9505","0.7883","0.0000","3.7928","20.7703","0.1826"
"3.3482","1.4374","0.7686","0.4161","0.0085","5.2378","23.4883","0.2230"
"3.1078","1.5961","0.7425","0.6077","0.0000","1.9556","20.5952","0.0950"
"3.6036","1.1459","0.8721","0.7261","0.0036","3.5856","21.2613","0.1686"
"7.1850","0.4600","0.6300","0.4000","0.0000","5.7850","20.3650","0.2841"
"2.6404","1.7357","0.7788","0.6852","0.0000","2.8310","22.0597","0.1283"
"2.9796","2.4860","0.6787","0.5894","0.0060","1.4927","21.8460","0.0683"
