"%_content_gen","%_content_pp","avg_nt_per_cg","dev_nt","%cg_outliers+","avg_rt_per_cp","dev_rt","%cp_outliers+","cg_reach","dev_cgr","cgr_outliers+","cp_reach","dev_cpr","cpr_outliers+"
"0.7714","0.6571","8.2963","10.6186","0.1111","20.5217","11.8039","0.0000","1559.4815","2717.9422","0.0741","1926.6522","2956.1194","0.0435"
"0.5434","0.9300","29.1186","99.1436","0.1082","41.3373","66.6031","0.1717","7280.7268","38630.7925","0.1186","4976.8554","29737.4819","0.1386"
"0.3251","0.8787","17.3095","82.5270","0.1548","17.5260","50.0118","-1.0000","4594.7475","25400.2697","0.1350","4126.8822","30743.6610","0.1499"
"0.4211","0.8795","9.5724","37.9367","0.1415","14.3089","25.6766","0.1621","2425.8635","10675.7095","0.1218","1929.0192","9364.8396","0.1249"
"0.5739","0.8466","8.9010","17.1345","0.0990","18.8993","14.4566","0.1275","2616.4752","10000.5904","0.1188","1865.3691","8229.8519","0.1074"
"0.6693","0.6345","8.4291","35.9397","0.1365","28.0316","34.9750","0.1564","2158.7217","8047.9467","0.1417","3322.8779","14000.1012","0.1084"
"0.6224","0.8061","21.1639","62.9024","0.0820","46.2152","43.0554","0.1772","2464.6885","5070.7754","0.1967","2984.7468","5774.1218","0.1646"
"0.2963","0.9877","4.4167","4.9160","0.0833","4.8875","3.3421","0.1125","2650.0000","5667.8489","0.2083","1795.2000","5076.1844","0.1125"
"0.6048","0.6169","12.8067","69.4304","0.1467","23.8170","65.3749","0.1307","6326.8900","56584.8644","0.1267","7611.2843","59279.3183","0.1503"
"0.6863","0.7843","13.0429","24.6279","0.1286","30.8125","17.5793","0.1000","1958.9571","4003.3997","0.1143","1650.4875","3683.9592","0.1125"
"0.3617","0.9078","15.2745","35.7397","0.1961","31.3438","16.3953","0.1172","6303.5686","16648.9741","0.1373","4779.8516","10869.5942","0.0625"
"0.4575","0.7793","10.3297","43.8865","0.1364","11.7349","32.9902","0.1564","4319.2525","34141.6913","0.1269","3686.5447","22462.2252","0.1300"
"0.4545","0.8409","25.2000","37.6516","0.1000","24.3784","30.0744","0.2162","2095.9000","3918.7423","0.1000","1627.3784","3560.0636","0.1622"
"0.5548","0.8091","17.9017","74.3876","0.1254","30.4707","58.8095","0.1679","13856.8788","219069.0754","0.1220","8448.0046","157028.7849","0.1243"
"0.7941","0.6471","7.4074","13.2556","0.1111","11.8182","14.5159","0.0909","3488.5185","8528.9896","0.2222","4081.3636","9364.5927","0.2273"
"0.4334","0.8667","20.7524","83.7317","0.1248","25.5513","55.3589","0.2045","25149.9497","393320.0380","0.1335","5149.0377","54139.7841","0.1257"
"0.8158","0.5526","7.2581","17.7632","0.1613","12.3810","20.4825","0.0952","1457.6129","3268.7875","0.1935","2180.6667","4171.8205","0.1429"
"0.4145","0.8871","9.4339","52.6985","0.1089","15.6827","34.8185","0.1664","3171.7140","10285.5403","0.1089","4314.9427","43967.1004","0.1091"
"0.6179","0.6463","17.5888","62.3733","0.1283","43.2327","44.0524","0.1792","13012.6776","117105.6614","0.1513","10109.2862","108234.7995","0.1415"
"0.5324","0.7611","38.6667","152.5706","0.1346","57.0717","124.0226","0.1794","6716.6090","27032.3036","0.1218","3852.9910","20271.2938","0.1211"
"0.3621","0.8583","10.3038","69.0672","0.1242","8.8755","41.5387","0.1233","12779.0239","191767.8407","0.1317","10841.8726","178853.4913","0.1300"
"0.8235","0.3529","20.9286","69.4334","0.1429","2.5000","4.2151","-1.0000","769.6429","857.9605","0.0714","1953.5000","2333.5375","-1.0000"
"0.3733","0.9460","16.6309","71.6261","0.1046","16.2624","31.9664","0.1887","6789.1113","63327.7521","0.1319","3488.1525","43455.4638","0.1280"
"0.4454","0.7968","8.3334","32.2632","0.1336","10.4151","23.5453","0.1507","5039.3951","50963.1156","0.1319","3605.9625","23887.1869","0.1192"
"0.5857","0.8612","21.1296","105.7597","0.1222","32.7607","87.4993","0.1234","3580.9963","9964.3270","0.1148","2858.5894","8607.6314","0.1083"
"0.2756","0.9497","11.4324","24.5257","0.1419","11.3451","13.7157","-1.0000","2620.6757","10593.9519","0.1081","1097.8157","3386.3883","0.1039"
"0.6019","0.6306","4.4127","16.2736","0.1905","6.3333","15.8335","0.1111","3928.5397","15865.1869","0.1270","4705.2727","17017.7635","0.1212"
"0.6651","0.7225","17.5108","72.1347","0.0863","33.7285","69.4634","0.1589","2293.7986","5559.5800","0.1295","1736.2848","3935.1303","0.1325"
"0.8621","0.4138","15.4000","22.6716","0.0400","39.6667","31.5493","0.0833","2285.4000","5380.9075","0.0800","3892.8333","7505.7078","0.1667"
"0.6746","0.7445","28.1907","121.4829","0.1253","59.9457","115.2366","0.1407","3652.7629","12476.9587","0.1362","2832.6000","8313.3589","0.1185"
"0.5468","0.6803","7.0472","24.6861","0.1359","9.3673","16.2277","0.1410","8469.3287","42530.6116","0.1436","5317.4454","31635.5228","0.1271"
"0.4550","0.8519","21.3450","46.2881","0.1202","29.3851","24.6211","0.1594","4843.3295","33571.6079","0.0930","3065.5052","24411.7001","0.1180"
"0.6333","0.6111","13.3860","54.3982","0.1404","7.9727","52.3645","0.1364","3664.5088","12118.7351","0.1316","8791.3000","39728.7305","0.1455"
"0.6779","0.5385","22.8511","96.4112","0.1631","29.6518","99.0726","0.1786","5334.2553","32888.7711","0.1135","8109.3125","39135.3303","0.1250"
"0.4879","0.9051","18.6508","69.5420","0.1230","32.5037","49.4636","0.1636","4474.5913","17043.2250","0.1290","2938.1979","12884.1976","0.1219"
"0.4086","0.8116","9.7647","29.3947","0.1272","13.7686","14.1670","0.1315","6332.6320","65502.4378","0.1327","4961.5282","50022.5603","0.1357"
"0.3568","0.9243","20.4697","35.7673","0.0606","35.7251","22.4593","0.1696","8159.7879","31907.1695","0.1061","3339.4152","19547.1991","0.1404"
"0.4348","0.8478","8.2500","19.7390","0.1000","6.9487","14.7088","0.1667","11482.2000","60083.1344","0.1250","6037.5128","43114.8310","0.1154"
"0.4384","0.8639","13.1195","51.7896","0.1223","14.3831","28.2985","0.1997","10418.6738","58350.9321","0.1387","4814.2593","34928.9491","0.1325"
"0.4996","0.7260","17.4364","98.1798","0.1439","24.4015","72.5238","0.1554","7902.6439","64334.6181","0.1333","5806.8394","47444.3243","0.1324"
"0.5390","0.7791","12.0445","59.0627","0.1378","18.4343","46.2058","0.1458","2277.7243","9654.2034","0.1108","2793.9687","11236.7844","0.1098"
"0.3389","0.8906","13.0270","36.0800","0.1159","11.1999","19.9968","0.1361","16880.1226","138524.5961","0.1474","4486.0462","41244.8164","0.1336"
"0.4872","0.8205","97.1053","203.1018","0.2105","137.5625","129.1917","0.1875","11165.3158","22045.8488","0.0526","7513.1563","18086.6023","0.0625"
"0.5005","0.8045","13.9420","54.1828","0.1251","20.2624","40.7518","0.1498","10118.4675","108608.2455","0.1336","6789.7615","77494.8045","0.1253"
"0.5321","1.0000","37.5542","127.9986","0.0964","65.2436","94.9783","0.1538","3860.5663","6478.1385","0.0964","2616.4551","5175.8290","0.0897"
"0.4523","0.8079","13.1060","48.4636","0.1322","17.0385","26.8710","0.1854","4689.5425","29002.3954","0.1355","2700.2070","10096.7353","0.1239"
"0.3533","0.8968","11.9941","63.0031","0.1185","12.7076","35.3223","0.1396","11473.4466","181515.4223","0.1173","3823.5968","35796.1494","0.1133"
"0.4903","0.7693","11.5996","57.4571","0.1410","17.3609","38.0017","0.1825","11508.4688","147372.9684","0.1311","7095.1795","112496.4666","0.1146"
"0.4866","0.9054","19.9659","71.4057","0.1335","28.7337","51.4528","0.1611","8248.3309","75184.0118","0.1380","5272.4944","55789.2768","0.1372"
"0.5415","0.6372","4.0918","15.9534","0.1609","8.2201","12.0188","0.1076","3831.4869","28371.6836","0.1239","2824.6347","12523.2824","0.1241"
"0.4859","0.9648","9.3768","20.5198","0.1594","20.3358","15.2253","0.1314","2876.0145","7133.9905","0.1594","2017.8029","5360.2273","0.1460"
"0.5724","0.6900","8.7744","41.0290","0.0977","8.6651","34.5294","0.1859","2358.2744","8481.3878","0.1121","2844.0334","9103.4781","0.1251"
"0.5794","0.6916","16.5000","37.2870","0.1452","27.8784","14.7059","0.1351","3678.3548","7772.7803","0.1290","2149.8108","6462.6652","0.1081"
"0.6324","0.8595","36.4957","112.2708","0.1111","95.4025","97.5841","0.1321","2306.6838","4897.5156","0.1282","2588.3585","5536.3950","0.1509"
"0.3692","0.8762","11.9010","74.5461","0.1400","14.5495","47.7477","0.1246","4477.3692","21469.3287","0.1330","3812.5620","23604.6047","0.1228"
"0.4527","0.7019","11.3380","67.2545","0.1638","24.1820","53.8568","-1.0000","3790.1150","10618.9197","0.1359","3347.6067","8471.9109","0.1528"
"0.4188","0.8080","15.7439","63.3742","0.1439","16.7143","43.3829","0.1707","5502.0000","44235.0203","0.1146","3674.2857","35314.7609","0.1239"
"0.4698","0.8952","28.4324","97.1334","0.1216","40.6525","47.2277","0.1312","5024.0135","13860.9001","0.1014","3378.7199","11104.2716","0.1348"
"0.5452","0.8081","10.4170","23.2317","0.1076","18.5371","16.2427","0.1528","3725.4013","18839.0261","0.1143","3574.0091","19607.9960","0.1089"
"0.5065","0.9481","22.8718","54.8818","0.1538","53.3562","41.5358","0.1233","7671.8718","23904.7554","0.1282","4676.4658","17691.8863","0.0685"
"0.6250","0.7679","22.9714","64.7497","0.1571","25.8488","29.5033","0.1512","2954.1429","7746.1609","0.1143","2834.9884","7678.2469","0.1279"
"0.1428","0.9378","5.6884","29.4673","0.1589","2.2354","9.3797","-1.0000","16190.0367","98075.8821","0.1466","2500.1399","34715.3036","0.1176"
"0.4427","0.8438","9.6235","37.4368","0.1098","15.8189","12.2107","0.1728","2247.6078","4739.4454","0.1176","2194.1564","5465.4702","0.1152"
"0.3052","0.9157","11.3166","61.8321","0.1264","13.7014","34.6117","-1.0000","17697.4295","172036.3039","0.1332","7590.0730","102945.1255","0.1264"
"0.4034","0.6931","10.8298","34.7740","0.1117","9.3963","7.7270","-1.0000","9514.4521","54213.7913","0.1543","3372.7616","35436.9636","0.1672"
"0.5500","0.6500","9.1818","25.7857","0.1212","9.1795","24.1736","0.1538","4421.9091","14738.6869","0.1515","4122.8718","13579.9574","0.1282"
"0.5605","0.7217","12.0114","53.8592","0.1512","22.1292","46.2780","0.1417","6396.3726","66309.9436","0.1358","4963.1362","44916.2181","0.1258"
"0.4430","0.8481","21.0000","80.1700","0.1714","35.8955","58.5602","0.1940","2159.4000","7327.0648","0.0571","1687.6716","5394.1606","0.0746"
"0.5758","0.8333","44.7632","192.5257","0.1579","71.2545","18.1038","0.1455","4646.8158","13365.2854","0.1316","4252.6909","12623.1328","0.1455"
"0.5360","0.7384","21.0772","83.0241","0.1249","28.8948","66.2134","0.1806","3456.7064","13213.6624","0.1363","3494.1308","16679.4760","0.1370"
"0.3047","0.8521","3.5797","10.8088","0.1838","3.8935","6.2729","-1.0000","12833.7623","94729.6507","0.1275","5005.0986","54187.7990","0.1078"
"0.5946","0.6757","5.5000","7.5035","0.0909","46.1200","6.1346","0.1200","5593.9773","17140.4622","0.1364","2730.2800","8036.1111","0.1600"
"0.6581","0.5128","11.3636","28.4600","0.1948","13.4000","6.6536","0.1667","9335.6104","52044.7426","0.1818","1339.6833","2367.8975","0.1333"
"0.6905","0.5655","8.3017","28.3914","0.1034","5.9053","23.9434","0.1263","2095.4655","6585.3786","0.0862","3041.3579","8121.2672","0.1158"
"0.3637","0.9620","11.7168","60.8050","0.1199","16.2669","37.6554","0.1760","2669.6964","12766.2522","0.1033","1759.3395","8581.8309","0.1010"
"0.3548","0.8920","19.1535","80.6779","0.1535","23.6836","47.0747","0.1455","22993.8261","340678.5322","0.1407","11515.7182","218224.7507","0.1119"
"0.2739","0.9075","5.6528","34.6775","0.1160","5.4818","18.8560","-1.0000","25276.7082","325515.9809","0.1408","7222.3207","148538.0362","0.1175"
"0.4402","0.8181","8.5951","47.4977","0.1273","12.9524","34.3767","0.1508","3878.1483","21312.8183","0.1247","3752.1780","18613.1377","0.1257"
"0.4239","0.8967","16.3718","31.1732","0.1154","22.2182","22.4369","0.1515","26118.7564","124864.5887","0.1667","14411.8848","88607.3192","0.1697"
"0.5057","0.7434","14.3881","50.1185","0.1567","17.8274","36.8629","0.1574","1458.3209","3071.2563","0.1045","1633.0203","4227.1736","0.0964"
"0.3075","0.8764","6.7140","31.0200","0.1340","7.9993","16.7676","-1.0000","5113.9389","33276.5322","0.1252","4050.5195","23919.8049","0.1141"
"0.4082","0.9213","21.5872","79.6502","0.1193","21.1301","53.8567","0.2033","1925.5505","5691.0684","0.1651","1078.2927","2890.0613","0.1382"
"0.5889","0.5444","10.6604","29.7347","0.0943","24.9592","5.9883","-1.0000","41101.4340","267890.0554","0.1321","42659.9184","278023.3206","0.1837"
"0.3868","0.8523","11.0871","60.7111","0.1369","15.9153","32.8324","0.1205","18200.9876","146747.7690","0.1660","2855.4256","14803.9467","0.1262"
"0.3647","0.8592","9.3014","60.4929","0.1379","12.6307","37.3088","0.1050","5380.0647","54674.7087","0.1362","3049.6418","33705.5238","0.1311"
"0.3776","0.8653","15.2749","52.9633","0.1277","15.3367","29.2218","0.1528","9553.4066","73803.7089","0.1398","4503.6985","45016.5579","0.1249"
"0.5000","0.8228","35.9873","136.5624","0.1013","65.0538","106.7333","0.1538","4070.4557","14421.1430","0.1266","1628.7385","4852.3776","0.0923"
"0.3491","0.8994","20.2793","87.9338","0.0901","16.6713","55.3197","0.1818","10372.2162","51454.2704","0.1441","5554.2098","38617.1567","0.1399"
"0.4347","0.8322","13.3861","62.1771","0.1384","18.0880","41.5903","0.1599","5619.2667","39367.6303","0.1333","3934.6830","39136.8665","0.1175"
"0.4575","0.8391","27.1935","119.1188","0.1357","33.8000","87.9786","0.1370","6557.0452","39102.2466","0.1508","3832.7000","30160.4272","0.1466"
"0.6552","0.6552","83.8421","201.3624","0.2105","230.7895","163.9102","0.1579","7807.5263","22201.2091","0.2105","8488.6842","23003.4844","0.1579"
"0.3571","0.9634","11.3712","61.3114","0.1157","16.9959","37.7058","0.1663","11354.1517","141192.9916","0.1316","5287.1047","86840.4827","0.1240"
"0.4042","0.8230","14.2728","60.6928","0.1213","14.4416","37.5792","0.1609","14854.3061","245578.4306","0.1386","7323.1157","172546.5950","0.1410"
"0.5664","0.7972","8.8272","15.2470","0.1111","16.8772","12.0076","0.1754","15567.1728","76636.7463","0.1235","4752.1930","26043.1332","0.1228"
"0.6017","0.7879","21.1583","35.0648","0.1079","27.4945","21.6756","0.1593","4093.7194","14790.9845","0.1007","3469.0275","15467.7220","0.0879"
"0.3894","0.8870","16.0370","47.1569","0.1543","28.9377","31.5331","0.1789","4525.1605","17513.0842","0.1543","2682.6341","12917.2047","0.1463"
"0.2566","0.9449","14.3237","71.0619","0.1506","14.5309","36.0389","-1.0000","4137.3109","15263.5828","0.0994","3360.3690","20408.8304","0.1062"
"0.7399","0.5087","12.0391","29.2694","0.1484","19.4886","26.2525","0.1705","2438.6875","9795.6298","0.1328","2875.2727","9971.5173","0.1136"
"0.4131","0.8967","20.8476","77.6441","0.1402","46.9831","53.5731","0.1910","62969.5366","631010.5569","0.1037","8200.6966","104234.8882","0.1404"
"0.4109","0.7663","20.4186","107.6894","0.1205","12.6043","77.4347","-1.0000","3788.2262","22647.7185","0.1332","1722.4354","6660.9213","0.1383"
"0.3594","0.9535","11.8844","26.6241","0.1497","16.6308","13.5748","0.1564","2625.4966","5253.6935","0.1293","1639.8718","5430.3609","0.1231"
"0.4257","0.8806","14.2411","52.4537","0.1406","17.1155","32.6727","0.1958","9709.9585","143400.0499","0.1311","6432.1595","102085.7445","0.1232"
"0.3575","0.9274","13.8984","40.5027","0.1094","41.8494","25.9105","0.1807","4903.6797","14090.0094","0.1250","2659.4096","7744.4173","0.0964"
"0.3967","0.8646","11.9864","47.9705","0.1378","13.0790","27.1845","0.1571","5615.1722","29526.8304","0.1117","4314.6398","24579.2162","0.1149"
"0.5890","0.8493","54.5814","143.6812","0.0930","94.9194","100.6514","0.1613","6183.9070","15313.2562","0.0465","4517.7742","13459.3265","0.1452"
"0.4166","0.8487","11.6181","40.9533","0.1241","14.8522","25.9234","0.1834","4115.9559","41063.4759","0.1166","4294.7931","31847.4244","0.1291"
"0.5664","0.6094","14.8069","38.4613","0.1379","34.7564","22.1068","0.1731","9703.2207","78735.1334","0.1724","10915.2051","77239.6482","0.1410"
"0.5413","0.6842","6.6375","27.0240","0.1565","11.7127","23.0980","0.1512","4761.0330","40492.7958","0.1374","6414.3214","84907.5177","0.1315"
"0.5712","0.7045","10.8686","44.8040","0.1342","16.7140","35.0714","0.1296","9346.3823","101304.9347","0.1167","7181.6663","67873.0359","0.1241"
"0.4243","0.8414","10.3308","51.6157","0.1488","12.8897","35.4921","0.1517","7774.2425","61598.7969","0.1296","4286.0756","40974.8826","0.1225"
