"tag","unique_users","%_content_gen","%_content_pp","avg_nt_per_cg","dev_nt","%cg_outliers-","%cg_outliers+","avg_rt_per_cp","dev_rt","%cp_outliers-","%cp_outliers+","cg_reach","dev_cgr","cgr_outliers-","cgr_outliers+","cp_reach","dev_cpr","cpr_outliers-","cpr_outliers+"
"#microcephaly","52","0.7500","0.7500","28.4103","78.9066","0.0000","0.1026","42.0256","79.5447","0.0000","0.1026","2386.7692","3720.3440","0.0000","0.1282","2288.5897","3758.3585","0.0000","0.1282"
"#Cushings","41","0.5610","0.8780","42.1739","140.7392","0.0000","0.1304","39.2222","113.7155","0.0000","0.1111","4508.6087","8760.0792","0.0000","0.1304","2308.2500","4212.4934","0.0000","0.1667"
"#takotsubo","32","0.6875","0.8750","8.5000","12.2930","0.0000","0.1364","25.7143","11.4501","0.0000","0.1429","2185.9545","4069.4082","0.0000","0.1364","10832.4286","44566.1706","0.0000","0.1071"
"#CryptogenicStroke","40","0.3750","0.9750","69.9333","232.9051","0.0000","0.1333","56.7949","145.5568","0.0000","0.2051","5935.4000","13791.9903","0.0000","0.0667","3052.6410","8996.2944","0.0000","0.1795"
"#pleuralEffusion","11","0.3636","0.7273","2.7500","1.7078","-1.0000","-1.0000","306.3750","1.7678","-1.0000","-1.0000","460.2500","568.8130","-1.0000","-1.0000","19564.3750","49286.0090","-1.0000","-1.0000"
"#Shingles","859","0.5984","0.6705","18.2315","90.2839","0.0000","0.1245","35.0729","81.5748","0.0000","0.1649","12864.3502","122130.5535","0.0000","0.1459","10434.4358","114364.5323","0.0000","0.1337"
"#EDS","3094","0.5630","0.8016","9.0287","38.8672","0.0000","0.1366","23.1065","32.5840","0.0000","0.1512","2376.6263","15495.7356","0.0000","0.1114","1917.3258","6744.9689","0.0000","0.1065"
"unknown-#hpbcsm","19","0.5789","0.9474","177.4545","340.0319","0.0000","0.0909","317.3889","275.7863","0.0000","0.2222","4039.6364","9986.2194","0.0000","0.0909","2618.2778","7880.6998","0.0000","0.1667"
"#Hyperglycemia","107","0.5234","0.8224","43.8036","222.9542","0.0000","0.0714","72.6023","178.3177","0.0000","0.1591","2054.2857","6578.9216","0.0000","0.1250","1269.3977","5198.0663","0.0000","0.1023"
"#Ichthyosis","57","0.5088","0.8246","12.7586","29.2705","0.0000","0.1724","13.2766","23.5693","0.0000","0.1277","4331.5172","12071.5983","0.0000","0.0690","2233.1489","9305.1403","0.0000","0.1702"
"#TBI","7128","0.2793","0.9172","8.7880","33.5468","0.0000","0.1346","9.1202","18.1537","-1.0000","-1.0000","4607.7735","26035.4958","0.0000","0.1205","3242.2615","21799.8077","0.0000","0.1239"
"#XMRV","3","1.0000","1.0000","232.6667","178.1582","-1.0000","-1.0000","397.3333","178.1582","-1.0000","-1.0000","1962.3333","846.7357","-1.0000","-1.0000","1962.3333","846.7357","-1.0000","-1.0000"
"#Leprosy","748","0.3289","0.8904","17.6423","82.2799","0.0000","0.1057","13.5526","19.5573","-1.0000","-1.0000","57766.4919","770981.1855","0.0000","0.1748","5209.2868","53060.4880","0.0000","0.1396"
"#CancerChat","1776","0.2494","0.9561","25.7923","160.8102","0.0000","0.1535","20.1478","79.6416","-1.0000","-1.0000","9113.9300","54326.5564","0.0000","0.1287","6032.4959","21856.0624","0.0000","0.1331"
"#Varicose","62","0.8065","0.3710","18.0000","55.4175","0.0000","0.1200","2.8696","4.1883","0.0000","0.0435","1803.8600","5278.4100","0.0000","0.1200","867.0435","1233.3755","0.0000","0.0870"
"unknown-#OCAMChat","3300","0.4179","0.8794","14.5149","49.3629","0.0000","0.1240","16.5765","29.8121","0.0000","0.1792","8178.3735","64698.6171","0.0000","0.1189","4914.4748","44547.9345","0.0000","0.1306"
"#basalcellcarcinoma","48","0.5417","0.8333","7.1923","15.2473","0.0000","0.1154","15.0250","12.7838","0.0000","0.1750","10034.2308","31316.7235","0.0000","0.1538","12324.7750","34582.5957","0.0000","0.1750"
"#delirium","1659","0.3520","0.9054","8.5719","43.5995","0.0000","0.1490","14.4854","27.2367","0.0000","0.1232","4500.3973","45336.5436","0.0000","0.1336","2493.2603","9703.2398","0.0000","0.1345"
"#Dyslexia","6703","0.3376","0.8692","7.1816","33.2751","0.0000","0.1299","7.5340","19.2046","-1.0000","-1.0000","4574.6655","30050.0731","0.0000","0.1233","3455.5168","25370.2072","0.0000","0.1277"
"#YeastInfection","143","0.3427","0.7343","16.9796","38.0353","0.0000","0.1429","17.2000","7.6654","-1.0000","-1.0000","3311.3061","10288.4561","0.0000","0.1224","702.0190","2706.0054","0.0000","0.2190"
"#giardia","27","0.7407","0.6667","14.9000","28.8716","0.0000","0.1500","6.6667","30.7033","0.0000","0.1111","1377.3000","1653.4626","0.0000","0.1000","1184.7222","1372.2346","0.0000","0.0556"
"unknown-#KnowFH","319","0.4671","0.9655","9.5973","16.7227","0.0000","0.1611","16.9675","12.3119","0.0000","0.1169","6459.9866","24973.2373","0.0000","0.1342","3543.5812","17625.9605","0.0000","0.1461"
"#Parkinsons","6174","0.3847","0.8583","12.5937","60.7724","0.0000","0.1242","14.4886","36.2746","0.0000","0.1398","5564.1242","32593.4748","0.0000","0.1259","3529.4650","37458.1048","0.0000","0.1357"
"#varicella","125","0.3920","0.9040","29.3469","63.9719","0.0000","0.1633","59.8319","34.1921","0.0000","0.1150","6765.0816","22768.9623","0.0000","0.1224","4352.5929","16332.0454","0.0000","0.1150"
"#AFib","2450","0.3380","0.9196","18.3056","78.6300","0.0000","0.1316","17.8238","46.7566","0.0000","0.1540","5563.3841","24420.7471","0.0000","0.1280","2446.1474","15000.7889","0.0000","0.1221"
"#Cardiomyopathy","438","0.3539","0.9247","11.6710","26.9988","0.0000","0.1226","19.5012","13.6365","0.0000","0.1556","4123.4323","12950.9362","0.0000","0.1290","2343.8667","8782.3114","0.0000","0.1284"
"#Ataxia","253","0.4862","0.8261","10.5203","32.0449","0.0000","0.0650","46.6411","25.1369","0.0000","0.1531","2717.0325","5525.7911","0.0000","0.0976","3031.8660","6377.2180","0.0000","0.0909"
"#MyastheniaGravis","78","0.7051","0.7308","32.7818","150.1171","0.0000","0.1273","107.7368","147.7404","0.0000","0.1228","1731.1273","3806.2925","0.0000","0.0727","1736.7544","3793.4167","0.0000","0.1228"
