hydrocephalus,#hydrocephalus,,,,,,,,,,,,,,,,,,
hypertrophic,#hypertrophiccardiomyopathy,,,,,,,,,,,,,,,,,,
hypertrophiccardiomyopathy,#hypertrophiccardiomyopathy,,,,,,,,,,,,,,,,,,
hypophosphatasia,#hypophosphatasia,,,,,,,,,,,,,,,,,,
hypospadias,#hypospadias,,,,,,,,,,,,,,,,,,
impotence,#impotence,,,,,,,,,,,,,,,,,,
iron,#irondeficiency,,,,,,,,,,,,,,,,,,
deficiency,#irondeficiency,,,,,,,,,,,,,,,,,,
irondeficiency,#irondeficiency,,,,,,,,,,,,,,,,,,
breasts,unknown-#MenHaveBreastsToo,,,,,,,,,,,,,,,,,,
meningococcal,#meningococcal,,,,,,,,,,,,,,,,,,
merkel,#merkelcellcarcinoma,,,,,,,,,,,,,,,,,,
merkelcellcarcinoma,#merkelcellcarcinoma,,,,,,,,,,,,,,,,,,
microcephaly,#microcephaly,,,,,,,,,,,,,,,,,,
myocarditis,#myocarditis,,,,,,,,,,,,,,,,,,
myopia,#myopiacontrol,,,,,,,,,,,,,,,,,,
myopiacontrol,#myopiacontrol,,,,,,,,,,,,,,,,,,
fibro,#neurofibromatosis,,,,,,,,,,,,,,,,,,
neurofibromatosis,#neurofibromatosis,,,,,,,,,,,,,,,,,,
hodgkins,#nonhodgkinslymphoma,,,,,,,,,,,,,,,,,,
lymphoma,#nonhodgkinslymphoma,,,,,,,,,,,,,,,,,,
nonhodgkinslymphoma,#nonhodgkinslymphoma,,,,,,,,,,,,,,,,,,
osteo,#osteonecrosis,,,,,,,,,,,,,,,,,,
necrosis,#osteonecrosis,,,,,,,,,,,,,,,,,,
osteonecrosis,#osteonecrosis,,,,,,,,,,,,,,,,,,
pancreatitis,#pancreatitis,,,,,,,,,,,,,,,,,,
peripheral,#peripheralarterydisease,,,,,,,,,,,,,,,,,,
artery,#peripheralarterydisease,,,,,,,,,,,,,,,,,,
peripheralarterydisease,#peripheralarterydisease,,,,,,,,,,,,,,,,,,
pleural,#pleuralEffusion,,,,,,,,,,,,,,,,,,
effusion,#pleuralEffusion,,,,,,,,,,,,,,,,,,
pleuraleffusion,#pleuralEffusion,,,,,,,,,,,,,,,,,,
porphyria,#porphyria,,,,,,,,,,,,,,,,,,
prader,#praderwilli,,,,,,,,,,,,,,,,,,
willi,#praderwilli,,,,,,,,,,,,,,,,,,
praderwilli,#praderwilli,,,,,,,,,,,,,,,,,,
prevent,#preventaccreta,,,,,,,,,,,,,,,,,,
preventaccreta,#preventaccreta,,,,,,,,,,,,,,,,,,
prost,#prostatitis,,,,,,,,,,,,,,,,,,
prostatitis,#prostatitis,,,,,,,,,,,,,,,,,,
pseudobulbar,#pseudobulbar,,,,,,,,,,,,,,,,,,
ringworm,#ringworm,,,,,,,,,,,,,,,,,,
sjogrens,#sjogrens,,,,,,,,,,,,,,,,,,
skintag,#skintag,,,,,,,,,,,,,,,,,,
takot,#takotsubo,,,,,,,,,,,,,,,,,,
subo,#takotsubo,,,,,,,,,,,,,,,,,,
takotsubo,#takotsubo,,,,,,,,,,,,,,,,,,
hmcs,unknown-#thmcsm,,,,,,,,,,,,,,,,,,
thyca,#thyca,,,,,,,,,,,,,,,,,,
trachoma,#trachoma,,,,,,,,,,,,,,,,,,
uterine,#uterinecancer,,,,,,,,,,,,,,,,,,
uterinecancer,#uterinecancer,,,,,,,,,,,,,,,,,,
varicella,#varicella,,,,,,,,,,,,,,,,,,
varicocele,#varicocele,,,,,,,,,,,,,,,,,,
womb,#wombcancer,,,,,,,,,,,,,,,,,,
wombcancer,#wombcancer,,,,,,,,,,,,,,,,,,
copd,#A2ZCOPD,,,,,,,,,,,,,,,,,,
a2zcopd,#A2ZCOPD,,,,,,,,,,,,,,,,,,
afib,#AFib,,,,,,,,,,,,,,,,,,
aids,#AIDS,,,,,,,,,,,,,,,,,,
als,#ALS,,,,,,,,,,,,,,,,,,
alopecia,#Alopecia,,,,,,,,,,,,,,,,,,
alzheimer,#Alzheimer,,,,,,,,,,,,,,,,,,
brca,#BRCA,,,,,,,,,,,,,,,,,,
bipolar,#Bipolar,,,,,,,,,,,,,,,,,,
bladder,#BladderCancer,,,,,,,,,,,,,,,,,,
bladdercancer,#BladderCancer,,,,,,,,,,,,,,,,,,
bleeding,#BleedingDisorder,,,,,,,,,,,,,,,,,,
bleedingdisorder,#BleedingDisorder,,,,,,,,,,,,,,,,,,
btsm,unknown-#BTSM,,,,,,,,,,,,,,,,,,
cfln,#CFLN,,,,,,,,,,,,,,,,,,
chd,#CHD,,,,,,,,,,,,,,,,,,
chf,#CHF,,,,,,,,,,,,,,,,,,
celiac,#Celiac,,,,,,,,,,,,,,,,,,
cleft,#CleftLip,,,,,,,,,,,,,,,,,,
cleftlip,#CleftLip,,,,,,,,,,,,,,,,,,
crcsm,unknown-#CRCSM,,,,,,,,,,,,,,,,,,
crohns,#Crohns,,,,,,,,,,,,,,,,,,
dvt,#DVT,,,,,,,,,,,,,,,,,,
diabesity,#Diabesity,,,,,,,,,,,,,,,,,,
eating,#EatingDisorder,,,,,,,,,,,,,,,,,,
eatingdisorder,#EatingDisorder,,,,,,,,,,,,,,,,,,
fatty,#FattyLiver,,,,,,,,,,,,,,,,,,
fattyliver,#FattyLiver,,,,,,,,,,,,,,,,,,
fmd,#FMD,,,,,,,,,,,,,,,,,,
fibroid,#Fibroid,,,,,,,,,,,,,,,,,,
flu,#Flu,,,,,,,,,,,,,,,,,,
haemophilia,#Haemophilia,,,,,,,,,,,,,,,,,,
hepb,#HepB,,,,,,,,,,,,,,,,,,
high,#HighCholesterol,#HighBloodPressure,,,,,,,,,,,,,,,,,
pressure,#HighBloodPressure,,,,,,,,,,,,,,,,,,
highbloodpressure,#HighBloodPressure,,,,,,,,,,,,,,,,,,
cholesterol,#HighCholesterol,,,,,,,,,,,,,,,,,,
highcholesterol,#HighCholesterol,,,,,,,,,,,,,,,,,,
hodgkin,#Hodgkin,,,,,,,,,,,,,,,,,,
huntersyndrome,#HunterSyndrome,,,,,,,,,,,,,,,,,,
lqts,#LQTS,,,,,,,,,,,,,,,,,,
leukaemia,#Leukaemia,,,,,,,,,,,,,,,,,,
lupus,#Lupus,,,,,,,,,,,,,,,,,,
lymphoedema,#Lymphoedema,,,,,,,,,,,,,,,,,,
mcam,#MCAM,,,,,,,,,,,,,,,,,,
mmsm,unknown-#MMSM,,,,,,,,,,,,,,,,,,
scler,#MultScler,,,,,,,,,,,,,,,,,,
multscler,#MultScler,,,,,,,,,,,,,,,,,,
ocam,unknown-#OCAMChat,,,,,,,,,,,,,,,,,,
pancan,#PanCan,,,,,,,,,,,,,,,,,,
pemphigus,#Pemphigus,,,,,,,,,,,,,,,,,,
peyronies,#Peyronies,,,,,,,,,,,,,,,,,,
rheum,#Rheum,,,,,,,,,,,,,,,,,,
schizofrenie,#Schizofrenie,,,,,,,,,,,,,,,,,,
sickle,#SickleCell,,,,,,,,,,,,,,,,,,
sicklecell,#SickleCell,,,,,,,,,,,,,,,,,,
spinal,#SpinalCordInjury,,,,,,,,,,,,,,,,,,
cord,#SpinalCordInjury,,,,,,,,,,,,,,,,,,
spinalcordinjury,#SpinalCordInjury,,,,,,,,,,,,,,,,,,
thrombosis,#Thrombosis,,,,,,,,,,,,,,,,,,
thyroid,#ThyroidCancer,,,,,,,,,,,,,,,,,,
thyroidcancer,#ThyroidCancer,,,,,,,,,,,,,,,,,,
viruszika,#Viruszika,,,,,,,,,,,,,,,,,,
anal,#analcancer,,,,,,,,,,,,,,,,,,
analcancer,#analcancer,,,,,,,,,,,,,,,,,,
asthma,#Asthma,,,,,,,,,,,,,,,,,,
cardiac,#IOMCardiacArrest,,,,,,,,,,,,,,,,,,
iomcardiacarrest,#IOMCardiacArrest,,,,,,,,,,,,,,,,,,
headaches,#ClusterHeadaches,,,,,,,,,,,,,,,,,,
clusterheadaches,#ClusterHeadaches,,,,,,,,,,,,,,,,,,
hypoglycemia,#Hypoglycemia,,,,,,,,,,,,,,,,,,
lipoedema,#Lipoedema,,,,,,,,,,,,,,,,,,
sarcoma,#sarcoma,,,,,,,,,,,,,,,,,,
gpfad,unknown-#GPFAD2013,,,,,,,,,,,,,,,,,,
mrsa,#MRSA,,,,,,,,,,,,,,,,,,
pten,#PTEN,,,,,,,,,,,,,,,,,,
anti,#antiNMDAr,,,,,,,,,,,,,,,,,,
antinmdar,#antiNMDAr,,,,,,,,,,,,,,,,,,
cancerchat,#CancerChat,,,,,,,,,,,,,,,,,,
